Scenario ID,User,Assistant - Extended,Assistant - Short,Assistant - Details,Threat ID,Description of the classification?,Vulnerability ID,Reasoning,Assistant - Risk occurrence type
S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.",The described scenario presents at least one security threat.,Yes,The system is vulnerable to data theft/theft,M26,Unnoticed data theft,V21,Insufficient separation of logical work areas,Real
S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.",The described scenario presents at least one security threat.,Yes,The system is vulnerable to data theft/theft,M26,Unnoticed data theft,V23,Unauthorized software applications,Real
S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.",The described scenario presents at least one security threat.,Yes,The system is vulnerable to data theft/theft,M26,Unnoticed data theft,V25,Insufficient information surveillance,Real
S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.",The described scenario presents at least one security threat.,Yes,The system is vulnerable to unauthorized logical access,M28,Network worm,V9,Non-existent logical access procedures,Real
S14,"The system is installed in the highest-ranking operating mode, and only authorized users can access documents.",The scenario is not sufficiently characterized to perform a preliminary analysis.,More,There are no details on how to access the documents,M26,Unnoticed data theft,V7,Untested software applications,Potential
S14,"The system is installed in the highest-ranking operating mode, and only authorized users can access documents.",The scenario is not sufficiently characterized to perform a preliminary analysis.,More,There are no details on how to access the documents,M26,Unnoticed data theft,V14,Inadequate supervision,Potential
S14,"The system is installed in the highest-ranking operating mode, and only authorized users can access documents.",The scenario is not sufficiently characterized to perform a preliminary analysis.,More,There are no details on how to access the documents,M26,Unnoticed data theft,V17,Misuse of information by end users,Potential
S14,"The system is installed in the highest-ranking operating mode, and only authorized users can access documents.",The scenario is not sufficiently characterized to perform a preliminary analysis.,More,There are no details on how to access the documents,M26,Unnoticed data theft,V21,Insufficient separation of logical work areas,Potential
S14,"The system is installed in the highest-ranking operating mode, and only authorized users can access documents.",The scenario is not sufficiently characterized to perform a preliminary analysis.,More,There are no details on how to access the documents,M26,Unnoticed data theft,V23,Unauthorized software applications,Potential
S14,"The system is installed in the highest-ranking operating mode, and only authorized users can access documents.",The scenario is not sufficiently characterized to perform a preliminary analysis.,More,There are no details on how to access the documents,M26,Unnoticed data theft,V25,Insufficient information surveillance,Potential
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M1,Queuing access,V8,Inadequate logical access control,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M1,Queuing access,V19,Changing system hardware configuration,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M1,Queuing access,V22,Changing system software configuration,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M4,Asynchronous attack,V3,Uncontrolled changes to the application software,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M4,Asynchronous attack,V7,Untested software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M4,Asynchronous attack,V23,Unauthorized software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M4,Asynchronous attack,V21,Insufficient separation of logical work areas,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V7,Untested software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V8,Inadequate logical access control,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V9,Non-existent logical access procedures,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V14,Inadequate supervision,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V23,Unauthorized software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V3,Uncontrolled changes to the application software,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V4,Failure to periodically check the procedures installed on the system,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V7,Untested software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V8,Inadequate logical access control,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V9,Non-existent logical access procedures,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V14,Inadequate supervision,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V23,Unauthorized software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M7,Logic bombs,V3,Uncontrolled changes to the application software,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M7,Logic bombs,V4,Failure to periodically check the procedures installed on the system,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M7,Logic bombs,V7,Untested software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M7,Logic bombs,V8,Inadequate logical access control,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M7,Logic bombs,V9,Non-existent logical access procedures,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M7,Logic bombs,V14,Inadequate supervision,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M7,Logic bombs,V23,Unauthorized software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M10,Covert storage channel,V3,Uncontrolled changes to the application software,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M10,Covert storage channel,V4,Failure to periodically check the procedures installed on the system,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M10,Covert storage channel,V7,Untested software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M10,Covert storage channel,V20,Lack of software to control hardware configurations,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M10,Covert storage channel,V23,Unauthorized software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M10,Covert storage channel,V36,No control over system clock,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M11,Covert timing channel,V3,Uncontrolled changes to the application software,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M11,Covert timing channel,V4,Failure to periodically check the procedures installed on the system,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M11,Covert timing channel,V7,Untested software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M11,Covert timing channel,V20,Lack of software to control hardware configurations,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M11,Covert timing channel,V23,Unauthorized software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M11,Covert timing channel,V36,No control over system clock,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M14,Accidental error,V6,Insufficient error detection,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M14,Accidental error,V10,Incorrect input/output procedures,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M14,Accidental error,V11,Errors in programs,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M14,Accidental error,V14,Inadequate supervision,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M17,Entering false information,V10,Incorrect input/output procedures,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M17,Entering false information,V14,Inadequate supervision,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M20,Service interruption,V7,Untested software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M20,Service interruption,V14,Inadequate supervision,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M20,Service interruption,V23,Unauthorized software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M21,Masking,V8,Inadequate logical access control,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M21,Masking,V14,Inadequate supervision,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M21,Masking,V25,Insufficient information surveillance,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M22,Hidden access doors,V2,Uncontrolled changes to the operating system,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M22,Hidden access doors,V3,Uncontrolled changes to the application software,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M22,Hidden access doors,V5,"Exploiting operating system ""holes""",Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M22,Hidden access doors,V7,Untested software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M23,Unconditional access procedure,V2,Uncontrolled changes to the operating system,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M23,Unconditional access procedure,V3,Uncontrolled changes to the application software,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M23,Unconditional access procedure,V5,"Exploiting operating system ""holes""",Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M23,Unconditional access procedure,V7,Untested software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M25,Sabotage,V14,Inadequate supervision,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M26,Unnoticed data theft,V4,Failure to periodically check the procedures installed on the system,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M26,Unnoticed data theft,V7,Untested software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M26,Unnoticed data theft,V14,Inadequate supervision,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M26,Unnoticed data theft,V21,Insufficient separation of logical work areas,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M26,Unnoticed data theft,V23,Unauthorized software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M26,Unnoticed data theft,V25,Insufficient information surveillance,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M27,Violation of login procedures,V2,Uncontrolled changes to the operating system,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M27,Violation of login procedures,V3,Uncontrolled changes to the application software,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M27,Violation of login procedures,V5,"Exploiting operating system ""holes""",Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M27,Violation of login procedures,V7,Untested software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M27,Violation of login procedures,V8,Inadequate logical access control,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M27,Violation of login procedures,V23,Unauthorized software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M28,Network worm,V3,Uncontrolled changes to the application software,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M28,Network worm,V4,Failure to periodically check the procedures installed on the system,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M28,Network worm,V7,Untested software applications,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M28,Network worm,V8,Inadequate logical access control,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M28,Network worm,V9,Non-existent logical access procedures,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M28,Network worm,V14,Inadequate supervision,Real
S16,No system logs are recorded,The described scenario presents at least one security threat.,Yes,It is not possible to monitor the system and its use by users,M28,Network worm,V23,Unauthorized software applications,Real
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,Details on password features are missing,M1,Queuing access,V8,Inadequate logical access control,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M1,Queuing access,V19,Changing system hardware configuration,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M1,Queuing access,V22,Changing system software configuration,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M4,Asynchronous attack,V3,Uncontrolled changes to the application software,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M4,Asynchronous attack,V7,Untested software applications,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M4,Asynchronous attack,V23,Unauthorized software applications,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M4,Asynchronous attack,V21,Insufficient separation of logical work areas,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V7,Untested software applications,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V8,Inadequate logical access control,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V9,Non-existent logical access procedures,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V14,Inadequate supervision,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M5,Trojan Horse Attack,V23,Unauthorized software applications,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V3,Uncontrolled changes to the application software,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V4,Failure to periodically check the procedures installed on the system,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V7,Untested software applications,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V8,Inadequate logical access control,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V9,Non-existent logical access procedures,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V14,Inadequate supervision,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M6,Computer virus attack,V23,Unauthorized software applications,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M7,Logic bombs,V3,Uncontrolled changes to the application software,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M7,Logic bombs,V4,Failure to periodically check the procedures installed on the system,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M7,Logic bombs,V7,Untested software applications,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M7,Logic bombs,V8,Inadequate logical access control,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M7,Logic bombs,V9,Non-existent logical access procedures,Potential
S18,System logs are recorded,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to monitor the system and its use by users,M7,Logic bombs,V14,Inadequate supervision,Potential
